Name,Operatingsystem,Environment,Compute Resource Or Model,Hostgroup,Last Report
ws-kamges-744.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:29:13 UTC
ws-kamges-842.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:15:51 UTC
ws-kamges-878.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:22:44 UTC
ws-kamges-864.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-04 10:26:20 UTC
ws-kamges-879.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:34:32 UTC
ws-kamges-880.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:14:36 UTC
ws-kamges-870.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:29:00 UTC
ws-kamges-881.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:30:29 UTC
ws-kamges-882.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:15:04 UTC
ws-kamges-883.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:27:15 UTC
ws-kamges-813.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:32:58 UTC
ws-kamges-832.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:14:27 UTC
ws-kamges-807.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:40:39 UTC
ws-kamges-869.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:12:25 UTC
ws-kamges-717.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:12:41 UTC
ws-kamges-808.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:13:54 UTC
ws-kamges-766.corp.gidroogk.com,RedHat 7.5,production,20F5S0Q400,Workstations/KAMGES,2023-07-24 04:38:03 UTC
ws-kamges-812.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:31:58 UTC
ws-kamges-818.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:37:48 UTC
ws-kamges-786.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:16:49 UTC
ws-kamges-742.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:36:19 UTC
ws-kamges-884.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:21:48 UTC
ws-kamges-845.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:24:20 UTC
ws-kamges-609.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-01 02:32:57 UTC
ws-kamges-830.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:29:58 UTC
ws-kamges-885.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:15:21 UTC
ws-kamges-888.corp.gidroogk.com,RedHat 7.5,production,P30 K43 R53,Workstations/KAMGES,2023-08-09 10:25:57 UTC
ws-kamges-887.corp.gidroogk.com,RedHat 7.5,production,P30 K43 R53,Workstations/KAMGES,2023-08-09 10:31:33 UTC
ws-kamges-889.corp.gidroogk.com,RedHat 7.5,production,P30 K43 R53,Workstations/KAMGES,2023-07-28 07:05:11 UTC
ws-kamges-890.corp.gidroogk.com,RedHat 7.5,production,P30 K43 R53,Workstations/KAMGES,2023-08-09 10:17:38 UTC
ws-kamges-891.corp.gidroogk.com,RedHat 7.5,production,P30 K43 R53,Workstations/KAMGES,2023-08-09 10:27:28 UTC
ws-kamges-867.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:39:52 UTC
ws-kamges-868.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:18:13 UTC
ws-kamges-794.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:38:01 UTC
ws-kamges-821.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G2 MINI,Workstations/KAMGES,2023-08-09 10:34:39 UTC
ws-kamges-780.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:29:41 UTC
